tahun,provinsi,nama_kabupaten,nama_kecamatan,nama_kelurahan,usia,jenis_kelamin,jumlah 
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,25-29,Laki-Laki,1217
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,30-34,Laki-Laki,1490
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,35-39,Laki-Laki,1606
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,40-44,Laki-Laki,1569
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,45-49,Laki-Laki,1520
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,50-54,Laki-Laki,1122
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,55-59,Laki-Laki,886
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,60-64,Laki-Laki,556
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,65-69,Laki-Laki,401
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,70-75,Laki-Laki,251
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,>75,Laki-Laki,173
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,0-4,Laki-Laki,907
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,05-09,Laki-Laki,1289
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,10-14,Laki-Laki,1247
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,15-19,Laki-Laki,1143
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,20-24,Laki-Laki,1074
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,25-29,Laki-Laki,1016
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,30-34,Laki-Laki,1268
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,35-39,Laki-Laki,1413
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,40-44,Laki-Laki,1180
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,45-49,Laki-Laki,1229
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,50-54,Laki-Laki,901
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,55-59,Laki-Laki,737
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,60-64,Laki-Laki,471
